signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
TQQQ,2010-02-12,160,13.0,0.49029940725304777,0.5855203710025485,-0.7666689078904028,627.794366280011,0.1781764561317277,0.06365200294912755
TQQQ,2010-02-12,160,14.0,0.47825557337466496,0.5836880106204801,-0.7666689078904029,550.7010980917681,0.17252396166134185,0.06930449741951339
TQQQ,2010-02-12,160,14.5,0.47825557337466496,0.5836880106204801,-0.7666689078904029,550.7010980917681,0.17252396166134185,0.06930449741951339
TQQQ,2010-02-12,160,13.5,0.4678009213623937,0.5848042549710861,-0.7666689078904029,491.07233330400004,0.1759646104694028,0.06586384861145245
TQQQ,2010-02-12,160,32.0,0.46660995607010336,0.5332881642492265,-0.7403888503278528,484.67796232794245,0.10125337920865077,0.14057507987220447
TQQQ,2010-02-12,160,32.5,0.46660995607010336,0.5332881642492265,-0.7403888503278528,484.67796232794245,0.10125337920865077,0.14057507987220447
TQQQ,2010-02-12,160,12.5,0.4656161068531688,0.5862147053575155,-0.766668907890403,479.40179156993645,0.1806340624231998,0.06119439665765544
TQQQ,2010-02-12,160,15.0,0.4607139561396416,0.5827651298595647,-0.766668907890403,454.15615720660907,0.1712951585156058,0.07053330056524945
TQQQ,2010-02-12,160,15.5,0.4548130181662742,0.5767079494125864,-0.7666689078904029,425.42115903155485,0.1685917915949865,0.07323666748586877
TQQQ,2010-02-12,160,3.0,0.4527964496142147,0.6014869114536524,-0.8149117762156076,415.99881842668015,0.21135414106660114,0.030474318014254115
