cagr,annualized_vol,max_drawdown,final_multiple,start,uvix_entry_rsi,uvix_exit_rsi,entry_filter,min_gspc_sma160_ratio_pct,uvix_entries,uvix_exits,uvix_day_share,skipped_uvix_entry_days,low_rsi_entries,low_rsi_exits
1.0742872330811042,0.6400924870991686,-0.6297358453228314,130745.48806688824,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,0.5,127,126,0.08847382649299582,1,11,11
1.0742872330811042,0.6400924870991686,-0.6297358453228314,130745.48806688824,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,0.75,127,126,0.08847382649299582,1,11,11
1.0742872330811042,0.6400924870991686,-0.6297358453228314,130745.48806688824,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,1.0,127,126,0.08847382649299582,1,11,11
1.0672957924105546,0.640165791312316,-0.6493805487564682,123808.66659520302,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,1.25,126,125,0.08822806586384861,2,11,11
1.0672957924105546,0.640165791312316,-0.6493805487564682,123808.66659520302,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,1.5,126,125,0.08822806586384861,2,11,11
1.0672957924105546,0.640165791312316,-0.6493805487564682,123808.66659520302,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,1.75,126,125,0.08822806586384861,2,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,none,,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-15.0,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-14.75,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-14.5,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-14.25,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-14.0,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-13.75,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-13.5,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-13.25,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-13.0,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-12.75,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-12.5,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-12.25,127,126,0.08871958712214303,0,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,69.5,68.5,gspc_sma160_ratio_min,-12.0,127,126,0.08871958712214303,0,11,11
