period,variant,CAGR%,Vol%,MDD%,CAGR/Vol,days
"Pre-2005
(1991–2005-12-19)",Baseline (synthetic canonical),22.89,65.16,-81.13,0.351,3775
"Pre-2005
(1991–2005-12-19)",z18m>2.0σ → Cash,21.68,62.72,-81.13,0.346,3775
"Pre-2005
(1991–2005-12-19)",z24m>2.0σ → Cash,20.99,62.81,-81.13,0.334,3775
"Pre-2005
(1991–2005-12-19)",z36m>2.0σ → Cash,17.98,61.44,-81.13,0.293,3775
"Post-2005
(2005-12-20–)",Baseline (actual canonical),113.02,56.58,-69.63,1.998,5112
"Post-2005
(2005-12-20–)",z18m>2.0σ → wait_mix,114.98,55.95,-69.63,2.055,5112
"Post-2005
(2005-12-20–)",z24m>2.0σ → wait_mix,115.71,55.94,-69.63,2.068,5112
"Post-2005
(2005-12-20–)",z36m>2.0σ → wait_mix,111.22,55.69,-69.63,1.997,5112
"Full period
(1991–)",Baseline (stitched),68.63,60.39,-81.13,1.136,8887
"Full period
(1991–)",z18m>2.0σ → Cash/wait_mix,68.81,58.94,-81.13,1.167,8887
"Full period
(1991–)",z24m>2.0σ → Cash/wait_mix,68.73,58.98,-81.13,1.165,8887
"Full period
(1991–)",z36m>2.0σ → Cash/wait_mix,64.92,58.23,-81.13,1.115,8887
